#,City,ST,Type,Budget Range,Monthly Est,Median Home,D1 Airport,D2 Budget,D3 Health,D5 Tax,D6 Walk,D7 Outdoor,D8 Wellness,D9 Safety,D10 Comm.,Climate Warm W,Climate Hot Sum,Climate Mild YR,Setting,Character,Highlight,HUM (0-10),HEAT (0-10),PropTax Rate %,HO Insur Est $/yr,Ins Variance Note,D4 Resil.,D4 Resil. Rationale
22,Delray Beach,FL,Beach / Walkable,2,"$5,100–$6,300/mo","$341,000",9,6,5,9,8,6,9,7,9,10,4,4,Beach / Coastal,"Urban Neighborhood, Arts & Culture",Best airport access in the database — 3 major airports within 55 min. Atlantic Avenue is one of Florida's most walkable and vibrant main streets.,9,7,0.78,7136,Coastal far above state avg; inland below,2,"Atlantic hurricane + surge; sits in Florida, the nation's costliest home-insurance market"
23,Fort Myers,FL,Beach / Active Adult,2,"$5,500–$6,800/mo","$372,000",9,7,9,9,3,6,8,6,7,10,4,3,"Beach / Coastal, Lakeside","Resort / Golf, Quiet & Residential",RSW airport excellent. Lee Health strong regional hospital. Cape Coral and Sanibel beaches. More affordable than Naples while offering similar Gulf Coast lifestyle.,9,7,0.78,7136,Coastal far above state avg; inland below,1,Hurricane Ian ground zero — catastrophic surge; Florida's high-cost insurance market
24,Naples,FL,Beach / Resort,3,"$6,500–$8,100/mo","$585,000",8,3,10,9,5,6,10,9,8,10,4,3,Beach / Coastal,Resort / Golf,NCH Hospital #1 in Florida multiple years. 97th percentile safety. World-class Gulf beaches. The most exclusive small resort city in Florida.,9,7,0.78,7136,Coastal far above state avg; inland below,2,Hurricane + surge + coastal flood; Florida's high-cost insurance market
25,Pensacola,FL,Beach / Military,1,"$4,900–$6,100/mo","$264,000",7,7,7,9,4,7,6,6,7,7,5,3,Beach / Coastal,"Historic, Nature-Centric",Pensacola Beach — some of the whitest sand on the Gulf Coast. No Florida income tax. More affordable than most FL beach cities. Military heritage.,9,7,0.78,7136,Coastal far above state avg; inland below,2,"Panhandle hurricanes (Ivan, Sally) + surge; Florida's high-cost insurance market"
26,Sarasota,FL,Beach / Arts,2,"$5,800–$7,200/mo","$462,000",7,5,10,9,6,6,9,5,9,10,4,3,Beach / Coastal,"Resort / Golf, Urban Neighborhood, Arts & Culture","Siesta Key #1 beach in America. Sarasota Memorial perfect CMS 5-star rating every year. Extraordinary arts scene — opera, ballet, symphony, Ringling Museum.",9,7,0.78,7136,Coastal far above state avg; inland below,2,Gulf surge + hurricane; Florida's high-cost insurance market
27,St. Augustine,FL,Historic / Beach,2,"$5,700–$7,100/mo","$432,000",6,5,8,9,7,6,6,8,9,8,4,4,Beach / Coastal,"Historic, Arts & Culture, Nature-Centric",Perfect 10 community. Oldest city in America — 1565. Genuinely walkable historic district. Flagler Hospital well-rated. No Florida income tax.,9,7,0.78,7136,Coastal far above state avg; inland below,3,"NE-FL coast; hurricane/flood, somewhat less surge-exposed; Florida's high-cost insurance market"
28,St. Petersburg,FL,Beach / Arts City,2,"$5,200–$6,500/mo","$375,000",8,6,7,9,8,7,8,6,9,9,7,8,"Beach / Coastal, Urban / Metro","Arts & Culture, Urban Neighborhood, Historic","Motley Fool's #1 Best Place to Retire 2026. Walk Score 94, Bike Score 90. Dalí Museum, Chihuly Collection, vibrant arts scene. Cost of living 4% below national average. Homicides down 44% in 2025. Florida's most walkable city with real beach access.",9,7,0.78,7136,Coastal far above state avg; inland below,2,Tampa Bay — among the most surge-vulnerable US metros; Florida's high-cost insurance market
29,Tampa,FL,Metro / Beach,2,"$5,500–$6,800/mo","$400,000",10,6,10,9,6,6,7,6,8,9,4,3,"Beach / Coastal, Lakeside","Historic, Arts & Culture",Perfect 10 airport AND perfect 10 healthcare. TPA major hub. Tampa General nationally ranked. Most complete package of any Florida metro. Best value in FL.,9,7,0.78,7136,Coastal far above state avg; inland below,2,Extreme storm-surge exposure; Florida's high-cost insurance market
30,Savannah,GA,Historic / Coastal,1,"$4,700–$5,800/mo","$326,000",5,7,6,7,7,6,5,4,8,7,5,3,"Beach / Coastal, Forest / Green","Urban Neighborhood, Arts & Culture, Historic","22 moss-draped historic squares — one of America's most beautiful cities. SCAD arts scene, world-class food, affordable coastal living.",10,7,0.79,2323,,3,Coastal hurricane + tidal flooding
31,Des Moines,IA,Capital City / Midwest,1,"$4,200–$5,300/mo","$191,000",7,8,8,6,5,5,7,7,7,2,6,4,"Urban / Metro, Forest / Green","Urban Neighborhood, Arts & Culture, College Town","Iowa's capital delivers extraordinary value — 17% below national cost of living, $217K median home, MercyOne top-ranked for coronary care. Principal Financial, Wells Fargo, Nationwide all headquartered here creating a sophisticated city feel. East Village arts district and Gray's Lake trails offer genuine urban quality of life.",7,6,1.33,2902,,7,Derecho (2020) + severe convective storms; insurance stable
32,Boise,ID,Outdoor / Growing,2,"$5,700–$7,000/mo","$505,000",7,4,7,6,4,8,7,8,7,4,5,8,Lakeside,"Arts & Culture, Nature-Centric",Fastest growing city in the database. Outdoor recreation exceptional. 74th percentile safety. But housing has risen sharply and summers get hot.,4,7,0.5,2240,,5,Wildfire + smoke + growing heat
33,Coeur d’Alène,ID,Lakeside Mountain,3,"$5,900–$7,400/mo","$553,000",6,5,6,7,5,8,7,7,7,3,6,5,"Mountain, Lakeside","Nature-Centric, Arts & Culture","One of the most visually stunning small cities in America — Coeur d’Alène sits on a sparkling lake surrounded by forested mountains, with Spokane’s full urban amenities just 30 miles west.",5,5,0.5,2240,,5,Wildfire + smoke
34,Sun Valley,ID,Mountain Resort,5,"$8,600–$10,700/mo","$1,114,000",5,2,5,7,6,10,5,9,7,2,5,4,Mountain,"Nature-Centric, Arts & Culture","Sun Valley has attracted artists, writers, and outdoor enthusiasts for a century — a sophisticated mountain resort with world-class skiing, summer festivals, and Idaho’s favorable tax environment.",3,4,0.5,2240,,5,Mountain wildfire + remoteness
35,Bloomington,IN,College Town,1,"$4,600–$5,700/mo","$296,000",5,7,7,6,6,6,6,6,8,3,7,5,Forest / Green,"College Town, Quiet & Residential, Arts & Culture",Indiana University anchors a vibrant arts and intellectual community. IU Health hospital excellent. Affordable college town with surprising cultural depth.,7,6,0.76,2887,,7,Tornado/severe-storm season; otherwise low exposure
36,Indianapolis,IN,Urban / Sports,2,"$5,400–$6,700/mo","$432,000",8,6,8,6,5,3,5,7,7,3,7,4,"Urban / Metro, Forest / Green","Urban Neighborhood, Arts & Culture","Indianapolis offers a complete major-city experience — excellent airport, strong healthcare, thriving sports culture, and a growing arts scene. Citywide median home $223K but retirees target Carmel, Zionsville, Fishers, and Broad Ripple ($425K–$700K).",7,7,0.76,2887,,7,Tornado/severe storms; low catastrophic exposure
37,Lexington,KY,Horse Country / College,1,"$4,800–$5,900/mo","$333,000",6,8,9,6,6,6,6,6,7,4,6,4,"Lakeside, Forest / Green","Historic, College Town, Arts & Culture","UK HealthCare exceptional — nationally ranked. Horse country beauty. Affordable college town. Keeneland, bourbon culture, strong arts scene.",7,7,0.74,4042,,6,Tornado + flooding risk; moderate overall
38,Paducah,KY,River City / Arts,1,"$4,100–$5,100/mo","$185,000",4,9,6,7,5,4,4,6,7,4,7,5,"Lakeside, Forest / Green","Arts & Culture, Historic, Nature-Centric","A UNESCO Creative City at the confluence of the Ohio and Tennessee Rivers — Paducah offers a nationally recognized arts scene, gorgeous historic downtown, and some of the lowest home prices in the database.",8,7,0.74,4042,,5,New Madrid seismic-zone edge + Ohio/Mississippi flooding + tornado
39,Annapolis,MD,Historic / Waterfront,3,"$6,300–$7,800/mo","$630,000",8,3,7,4,8,7,6,6,8,4,6,4,"Beach / Coastal, Lakeside","Historic, Arts & Culture, Nature-Centric",America's sailing capital. Extraordinary historic downtown. BWI airport 25 min. Baltimore and DC world-class medical centers within reach.,7,5,0.92,1918,,6,Chesapeake tidal flooding + sea-level rise + hurricane remnants
40,Silver Spring,MD,Urban / Walkable / DC Metro,3,"$5,900–$7,400/mo","$526,000",8,4,8,4,7,5,6,5,7,5,6,5,Urban / Metro,"Arts & Culture, Urban Neighborhood, Nature-Centric","Metro Red Line + MARC train direct to DC. Purple Line coming 2027. Johns Hopkins 30 min, NIH 15 min. One of the most diverse communities in the DC metro area.",8,6,0.92,1918,,7,"Inland DC metro; low catastrophic, some flooding"
41,Portland,ME,New England / Arts,3,"$5,900–$7,400/mo","$576,000",8,3,9,4,9,7,6,4,9,2,8,6,"Beach / Coastal, Lakeside","Historic, Quiet & Residential, Arts & Culture",Perfect 10 community — best food scene per capita in the US. Maine Medical Center excellent. Most walkable small city in New England. Real winters.,6,3,0.98,1335,,8,Coastal storms but low catastrophic exposure; stable market
42,Ann Arbor,MI,College Town,2,"$5,600–$6,900/mo","$489,000",9,5,10,7,8,5,7,7,8,3,7,5,Lakeside,"College Town, Arts & Culture, Nature-Centric",University of Michigan drives world-class healthcare and culture. DTW airport 30 min. Michigan Medicine top 10 hospital nationally. Exceptional college town.,6,5,1.19,2924,,9,"Great Lakes; minimal catastrophic exposure, stable insurance"
43,St. Paul,MN,Major Metro,1,"$4,700–$5,900/mo",297000,10,5,9,3,7,6,7,7,8,1,7,5,Urban / Metro,"Historic, College Town, Urban Neighborhood","Perfect 10 airport access — MSP is a major Delta hub. Exceptional healthcare. Citywide median home $280K but retirees target Highland Park, Macalester-Groveland, Summit Hill, and St. Anthony Park ($425K–$650K). Warning: brutal winters.",6,5,1.0,2729,,8,Severe winter/storms; low catastrophic exposure
44,Kansas City,MO,Urban / Cultural,1,"$4,500–$5,700/mo","$250,000",8,8,8,6,5,4,5,5,7,3,7,4,"Urban / Metro, Forest / Green","Urban Neighborhood, Arts & Culture, Historic","One of the most underrated major American cities for retirement — Kansas City combines world-class arts, legendary barbecue culture, affordable homes under $260K, and strong healthcare without coastal price tags.",7,7,0.89,3979,,6,Tornado Alley severe storms + hail
45,St. Louis,MO,Major Metro / Historic,1,"$4,400–$5,400/mo","$235,000",8,8,10,6,6,6,7,5,8,4,7,5,"Urban / Metro, Forest / Green","Historic, Arts & Culture, Urban Neighborhood","Barnes-Jewish Hospital — #1 in Missouri, nationally ranked in 11 specialties, US News Honor Roll. Forest Park is larger than Central Park. Free world-class art museum. Median home $250K citywide but retirees target Chesterfield, Kirkwood, Webster Groves ($350K–$500K). Extraordinary value for healthcare quality.",8,8,0.89,3979,,5,Tornado + river flooding + New Madrid seismic proximity + heat
46,Bozeman,MT,Mountain / College Town,4,"$6,900–$8,600/mo","$740,000",7,3,6,5,5,9,7,7,7,2,8,9,Mountain,"College Town, Quiet & Residential, Arts & Culture, Nature-Centric","Montana's strongest all-around mountain college town — excellent airport, Leapfrog A hospital, Yellowstone 90 minutes away, and Montana State University energy year-round.",3,3,0.61,3215,,5,Wildfire + smoke
47,Missoula,MT,Mountain / Arts & College Town,3,"$6,000–$7,500/mo","$548,000",5,4,7,4,5,8,6,3,8,3,6,9,Mountain,"College Town, Quiet & Residential, Arts & Culture, Nature-Centric","Montana's #1 hospital, the deepest arts scene in the Mountain West for its size, and three rivers converging at the city — all at the most accessible price point in this group.",4,4,0.61,3215,,5,Wildfire + valley-trapped smoke
48,Whitefish,MT,Mountain Resort,4,"$7,400–$9,200/mo","$847,000",6,4,5,8,6,9,5,8,6,2,5,4,"Mountain, Lakeside","Nature-Centric, Arts & Culture, Historic","Gateway to Glacier National Park with world-class skiing, stunning lake views, and a walkable mountain town character that draws active retirees from across the country.",5,3,0.61,3215,,5,Mountain wildfire + remoteness
49,Asheville,NC,Mountain Arts Town,2,"$5,400–$6,700/mo","$462,000",5,5,5,6,7,10,6,5,9,5,8,7,Mountain,"Historic, Arts & Culture, Nature-Centric","Perfect 10 outdoor recreation — Blue Ridge Parkway, Great Smokies 1 hour. Extraordinary arts scene. #1 breweries per capita in the US.",7,4,0.66,3124,Coastal above state avg,5,Former 'climate haven'; Hurricane Helene caused catastrophic inland flooding (2024)
50,Beaufort,NC,Historic / Coastal / Small Town,1,"$4,700–$5,900/mo","$318,000",4,7,5,7,5,8,7,8,8,7,5,6,"Beach / Coastal, Lakeside","Historic, Quiet & Residential, Nature-Centric","Third oldest town in NC (1709). Budget Travel's 'America's Coolest Small Town.' Carteret County's lowest property tax in NC. Wild horses on Rachel Carson Reserve. Year-round water sports. Cape Lookout National Seashore. Tight, welcoming community identity unlike anywhere in the database.",9,6,0.66,3124,Coastal above state avg,2,Crystal Coast barrier — extreme hurricane + surge exposure
51,Raleigh,NC,Metro / Research,2,"$5,400–$6,700/mo","$436,000",9,6,10,7,4,6,6,6,7,5,5,4,Urban / Metro,"Historic, Arts & Culture, Nature-Centric",WakeMed and UNC Health excellent. RDU strong airport. Research Triangle energy drives culture and healthcare. Best complete package in the Southeast.,8,7,0.66,3124,Coastal above state avg,7,"Piedmont; hurricane remnants only, low exposure"
52,Wilmington,NC,Beach / Historic,2,"$5,200–$6,500/mo","$418,000",6,6,5,7,5,7,6,3,7,6,6,4,"Beach / Coastal, Lakeside","Historic, Arts & Culture, Nature-Centric",Wrightsville Beach one of the East Coast's best. Historic downtown. Film production hub. More affordable than comparable coastal NC cities.,9,7,0.66,3124,Coastal above state avg,2,Direct hurricane-landfall corridor (Florence) + surge
53,Nashua,NH,New England / Value,2,"$5,600–$7,000/mo","$440,000",8,4,8,9,6,5,5,6,6,2,7,6,"Lakeside, Forest / Green","Historic, Quiet & Residential, Arts & Culture",No New Hampshire income tax. BOS airport 45 min. Southern Gateway Hospital strong. Boston access without Boston prices. Real winters.,6,5,1.5,1300,,8,Low catastrophic exposure; occasional flooding/winter storms
54,Rio Rancho,NM,Desert Suburb,1,"$4,800–$6,000/mo","$323,000",7,7,7,6,4,5,6,7,5,6,8,7,"Desert, Mountain","Nature-Centric, Arts & Culture","Ranked #6 US News Best Places to Retire 2026 — Rio Rancho combines 300+ sunny days, stunning Sandia Mountain views, affordable master-planned neighborhoods, and 20-minute access to Albuquerque’s medical centers.",2,7,0.63,2869,,6,High-desert wildfire/drought/heat; milder than AZ valley
55,Santa Fe,NM,Historic Arts Capital,3,"$6,000–$7,400/mo","$571,000",5,6,7,5,6,7,6,3,10,4,8,8,"Mountain, Desert","Historic, Quiet & Residential, Arts & Culture","Perfect 10 community — 3rd largest art market in US after New York and LA. Founded 1610. 7,000 ft elevation creates unique high-desert setting.",3,5,0.63,2869,,5,Wildfire (record 2022 fire) + drought + heat
56,Las Vegas,NV,Major Metro / Entertainment,2,"$5,600–$7,000/mo","$478,000",10,5,7,10,3,7,7,5,8,8,3,7,"Desert, Urban / Metro","Resort / Golf, Urban Neighborhood, Arts & Culture",Perfect 10 airport AND perfect 10 taxes — a rare double. LAS serves 120+ nonstop destinations. Zero Nevada income tax on everything. Warm dry winters. Red Rock Canyon 20 min. Cleveland Clinic Lou Ruvo Center for Brain Health. Entertainment capital of the world. Retirees live in Summerlin or Henderson — not near the Strip.,1,10,0.5,1774,,5,Extreme heat + water scarcity
57,Saratoga Springs,NY,Historic / Arts,3,"$6,700–$8,300/mo","$619,000",6,3,6,2,8,7,6,8,8,2,7,6,Lakeside,"Historic, Arts & Culture, Nature-Centric","Perfect 10 community. Horse racing, SPAC, mineral springs, extraordinary arts calendar. One of the most distinctive small cities in America.",6,5,1.3,1683,,8,Upstate; low catastrophic exposure
58,Columbus,OH,Major Metro / College Town,1,"$4,400–$5,500/mo","$235,000",8,7,9,6,5,5,7,6,8,3,6,4,"Urban / Metro, Forest / Green","Urban Neighborhood, Arts & Culture, College Town","Ohio State Wexner Medical Center and The James Cancer Hospital make Columbus a genuine healthcare powerhouse. At $260K median home in a growing, culturally vibrant city with 7% below national average cost of living — extraordinary value for retirees who prioritize medical access and urban amenities.",7,6,1.36,2118,,8,Low catastrophic exposure; occasional severe storms
59,Bend,OR,Outdoor / Growing,4,"$6,900–$8,500/mo","$726,000",6,4,8,6,7,10,7,8,7,5,8,9,"Mountain, Lakeside",Nature-Centric,"Perfect 10 outdoor recreation. High desert at 3,600 ft means 300 sunny days and dry summers. St. Charles Medical excellent. But housing has surged.",3,4,0.81,1572,,4,"Wildfire + smoke + drought, worsening"
60,Eugene,OR,College / Outdoor,2,"$5,600–$6,900/mo","$478,000",5,4,7,3,7,8,6,5,7,5,7,8,"Mountain, Lakeside","College Town, Arts & Culture, Nature-Centric",University of Oregon energy. Outdoor recreation excellent. Willamette Valley wine country. But Oregon income tax is among the worst for retirees.,6,4,0.81,1572,,5,Wildfire smoke + 2020-fire proximity; wetter winters
61,Philadelphia,PA,Historic / Urban / College Town,1,"$4,200–$5,300/mo","$240,000",8,5,10,6,8,5,7,6,9,5,6,5,"Urban / Metro, Beach / Coastal","Historic, Arts & Culture, Urban Neighborhood, Nature-Centric, Big City Energy","Penn Medicine #1 in Pennsylvania, nationally ranked in 11 specialties. Jefferson Health nationally ranked in 6. Citywide median home $270K but retirees target Rittenhouse Square, Society Hill, Chestnut Hill, and Manayunk ($475K–$975K).",7,6,1.26,1529,,7,Riverine/coastal flood pockets + heat; low catastrophic
62,Pittsburgh,PA,College Town / Urban / Outdoor,1,"$4,300–$5,400/mo","$240,000",6,5,10,7,6,6,6,7,8,4,6,5,"Mountain, Lakeside","Arts & Culture, Urban Neighborhood, College Town, Nature-Centric","UPMC Presbyterian Shadyside #1 in Pittsburgh, #2 in Pennsylvania, nationally ranked in 9 specialties. Citywide median home $265K but retirees target Squirrel Hill, Shadyside, Mt. Lebanon, and Fox Chapel ($425K–$700K+). World-class healthcare at northeastern-affordable prices.",7,5,1.26,1529,,8,Localized riverine flood/landslide only; low catastrophic
63,Charleston,SC,Historic / Beach,2,"$5,600–$7,000/mo","$526,000",8,5,9,6,7,8,7,5,9,7,5,3,Beach / Coastal,"Historic, Urban Neighborhood, Arts & Culture",MUSC Health #1 hospital in SC 11 consecutive years. One of America's most beautiful historic cities with a world-class food and arts scene.,10,7,0.49,2974,Coastal above state avg,3,Hurricane + tidal/nuisance flooding + sea-level rise
64,Greenville,SC,Inland / Small City,1,"$4,700–$5,800/mo","$326,000",6,8,8,6,7,7,6,4,7,5,6,4,"Mountain, Forest / Green","Urban Neighborhood, Quiet & Residential, Arts & Culture","Two competing top-ranked hospital systems. Falls Park, Swamp Rabbit Trail, thriving Main Street. Housing 27% below national average.",8,7,0.49,2974,Coastal above state avg,6,"Upstate; low coastal risk, occasional severe storms"
